Kabupaten/Kota,Jumlah Rumah Sakit Umum,Jumlah Rumah Sakit Khusus,Jumlah Puskesmas Rawat Inap,Jumlah Puskesmas Non Rawat Inap,Jumlah Klinik Pratama,Jumlah Posyandu
Bogor,27,4,30,71,188,5141
Sukabumi,9,,10,48,96,3680
Cianjur,5,,8,39,66,2945
Bandung,15,,5,57,177,4350
Garut,8,,33,34,139,4334
Tasikmalaya,1,1,19,21,66,2392
Ciamis,5,1,23,14,60,1612
Kuningan,11,1,6,31,23,1436
Cirebon,10,2,11,49,75,2706
Majalengka,5,1,9,23,62,1503
Sumedang,3,,17,18,82,1713
Indramayu,11,1,10,39,61,2363
Subang,10,1,25,15,113,1925
Purwakarta,9,2,7,13,88,1050
Karawang,24,2,35,15,222,2375
Bekasi,50,4,4,47,318,2883
Bandung Barat,6,5,6,26,77,2340
Pangandaran,1,,11,4,25,532
Kota Bogor,17,5,,25,125,982
Kota Sukabumi,6,,,15,34,461
Kota Bandung,26,15,,80,187,1999
Kota Cirebon,9,1,,22,76,345
Kota Bekasi,45,3,,48,363,1615
Kota Depok,24,4,,38,193,1063
Kota Cimahi,7,1,,13,45,411
Kota Tasikmalaya,8,6,9,13,49,909
Kota Banjar,4,,2,8,19,200
Jawa Barat,356,60,280,826,3029,53265
